номинализация и ее зависимые,лемма номинализации,предложение,номинализация и ее аргументы,модель управления в общем виде,присоединяемые адъюнкты,порядок аргументов,вершина,1-й аргумент,2-ой аргумент,1-ый адъюнкт,2ой адъюнкт,3ий адъюнкт,4ый адъюнкт,
,,,,,,,,,,,,,,
за выдачу - открытие - и,открытие,"Речь идет о платежах , которые банк взимает помимо процентов за пользование кредитом : это различного рода комиссии , например за рассмотрение заявки о выдаче кредита , за выдачу самого кредита , открытие и ведение ссудного счета , досрочный возврат суммы кредита",открытие - и,['HEAD'],['CONJ'],HEAD,HEAD: открытие,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
ведение - счета,ведение,"Речь идет о платежах , которые банк взимает помимо процентов за пользование кредитом : это различного рода комиссии , например за рассмотрение заявки о выдаче кредита , за выдачу самого кредита , открытие и ведение ссудного счета , досрочный возврат суммы кредита",ведение - счета,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: ведение,arg1: gen: счет,--,,,,,
,,,,,,,,,,,,,,
огромное - серое - здание - типа,здание,"Отель , который нам выбрали , находится в центре города : на фоне милых кукольных домиков — огромное серое здание совкового типа",здание - типа,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: здание,arg1: gen: тип,--,,,,,
,,,,,,,,,,,,,,
его - предсказания,предсказание,Потому что верю в его предсказания,его - предсказания,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: предсказание,arg1: poss: его,--,,,,,
,,,,,,,,,,,,,,
упрощении - регистрации - в России,упрощение,В ходе встречи Медведев поставил свою подпись под законом об упрощении регистрации политических партий в России,упрощении - регистрации - в России,"['HEAD', 'gen']",['в+loc'],HEAD-arg1,HEAD: упрощение,arg1: gen: регистрация,--,adj1: в+loc: россия,,,,
,,,,,,,,,,,,,,
предотвращение - провокаций,предотвращение,"В свою очередь член "" Справедливой России "" Геннадий Гудков предложил подумать об общественных организациях , которые бы взялись за предотвращение провокаций , выявление провокаторов и сдачу их полиции",предотвращение - провокаций,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предотвращение,arg1: gen: провокация,--,,,,,
,,,,,,,,,,,,,,
выявление - провокаторов - и,выявление,"В свою очередь член "" Справедливой России "" Геннадий Гудков предложил подумать об общественных организациях , которые бы взялись за предотвращение провокаций , выявление провокаторов и сдачу их полиции",выявление - провокаторов - и,['HEAD'],"['acc', 'CONJ']",HEAD,HEAD: выявление,--,--,adj1: acc: провокатор,adj2: CONJ: и,,,
,,,,,,,,,,,,,,
предложения - от операторов,предложение,"Были предложения от всех операторов "" большой тройки "" , но мы не были заинтересованы в тот момент в продаже",предложения - от операторов,['HEAD'],['от+gen'],HEAD,HEAD: предложение,--,--,adj1: от+gen: оператор,,,,
,,,,,,,,,,,,,,
изменениями - в организме - курильщиков - в возрасте,изменение,"Медики в течение двух лет наблюдали за изменениями в организме курильщиков кальяна в возрасте от 18 до 50 лет и их "" сигаретных "" собратьев",изменениями - в организме - курильщиков - в возрасте,"['HEAD', 'gen']","['в+loc', 'в+loc']",HEAD-arg1,HEAD: изменение,arg1: в+loc: организм,--,adj1: gen: курильщик,adj2: в+loc: возраст,,,
,,,,,,,,,,,,,,
сокращению - ТЯО - развертыванию - ЕвроПРО,сокращение,"Возникли пять переговорных пакетов : по сокращению ТЯО , развертыванию ЕвроПРО , модернизации ДОВСЕ , перспективах Договора РСМД , подключению Великобритании и Франции к российско-американским переговорам по СНВ",сокращению - ТЯО - развертыванию - ЕвроПРО,"['HEAD', 'gen']","['dat', 'nom']",HEAD-arg1,HEAD: сокращение,arg1: gen: тяо,--,adj1: dat: развертывание,adj2: nom: европро,,,
,,,,,,,,,,,,,,
подключению - Великобритании - к переговорам,подключение,"Возникли пять переговорных пакетов : по сокращению ТЯО , развертыванию ЕвроПРО , модернизации ДОВСЕ , перспективах Договора РСМД , подключению Великобритании и Франции к российско-американским переговорам по СНВ",подключению - Великобритании - к переговорам,"['HEAD', 'gen']",['к+dat'],HEAD-arg1,HEAD: подключение,arg1: gen: великобритания,--,adj1: к+dat: переговоры,,,,
,,,,,,,,,,,,,,
распространение - в регионе,распространение,"Но главный вывод , к которому подводят приговоры суда по 238 статье УК РФ : распространение в регионе денатурированного спирта имеет под собой глубокие корни , которые и следует "" рубить "" в первую очередь",распространение - в регионе,['HEAD'],['в+loc'],HEAD,HEAD: распространение,--,--,adj1: в+loc: регион,,,,
,,,,,,,,,,,,,,
бесчеловечного - отношения - взрослых - к детям,отношение,"Впрочем , и до проверок Семен Круть признавал , что мер профилактики бесчеловечного отношения взрослых к детям , принимаемых надзорными структурами области , недостаточно",отношения - взрослых - к детям,"['HEAD', 'gen']",['к+dat'],HEAD-arg1,HEAD: отношение,arg1: gen: взрослый,--,adj1: к+dat: дитя,,,,
,,,,,,,,,,,,,,
продолжение - картины,продолжение,"Изначально продолжение картины планировалось выпустить осенью 2010 года , однако из-за низких сборов "" Предстояния "" - первой части дилогии - премьеру решили перенести",продолжение - картины,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: продолжение,arg1: gen: картина,--,,,,,
,,,,,,,,,,,,,,
Предстояния - части,предстояние,"Изначально продолжение картины планировалось выпустить осенью 2010 года , однако из-за низких сборов "" Предстояния "" - первой части дилогии - премьеру решили перенести",Предстояния - части,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предстояние,arg1: gen: часть,--,,,,,
,,,,,,,,,,,,,,
свое - заключение,заключение,""" В выходные эксперты тщательно исследовали пролеты и опоры моста и дали нам свое заключение",свое - заключение,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: заключение,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
мнению - источника,мнение,"По мнению источника издания , именно он может возглавить Национальную гвардию",мнению - источника,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: мнение,arg1: gen: источник,--,,,,,
,,,,,,,,,,,,,,
неподтвержденные - заявления - газеты,заявление,"Между тем в Госдуме сообщили , что реагировать на неподтвержденные заявления британской газеты они не намерены",заявления - газеты,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: заявление,arg1: gen: газета,--,,,,,
,,,,,,,,,,,,,,
очертаниях - кресла - из валиков,очертание,"Они еще различимы в работах Джо Коломбо , например в очертаниях его удобного кресла из валиков кожи",очертаниях - кресла - из валиков,"['HEAD', 'gen']",['из+gen'],HEAD-arg1,HEAD: очертание,arg1: gen: кресло,--,adj1: из+gen: валик,,,,
,,,,,,,,,,,,,,
участием - представителей,участие,"Что касается Чувашии , ответ положительный , и свидетельствует об этом "" круглый стол "" с участием представителей "" рыбных "" ведомств и общественности",участием - представителей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: участие,arg1: gen: представитель,--,,,,,
,,,,,,,,,,,,,,
снабжению - жителей - водой,снабжение,"Сами жители , порадовавшись событию , тут же обступили Президента , чтобы выяснить , будет ли свет на сельских улицах , положат ли "" полицейского "" около школы в селе Большое Чеменево , как двигаются дела по снабжению жителей района чистой питьевой водой",снабжению - жителей - водой,"['HEAD', 'gen', 'ins']",[],HEAD-arg1-arg2,HEAD: снабжение,arg1: gen: житель,arg2: ins: вода,,,,,
,,,,,,,,,,,,,,
прочных - отношениях - с девушками,отношение,"В опытах Флоридского университета , длившихся целых три месяца , приняли участие 38 молодых людей , из которых только 12 состояли в прочных отношениях с девушками",отношениях - с девушками,['HEAD'],['с+ins'],HEAD,HEAD: отношение,--,--,adj1: с+ins: девушка,,,,
,,,,,,,,,,,,,,
Прокол - увеличение - численности - более,увеличение,Прокол Берлина - увеличение численности населения планеты ( ежегодно более чем на 70 млн,увеличение - численности - более,"['HEAD', 'gen']",['ADVB'],HEAD-arg1,HEAD: увеличение,arg1: gen: численность,--,adj1: ADVB: более,,,,
,,,,,,,,,,,,,,
населения - планеты,население,Прокол Берлина - увеличение численности населения планеты ( ежегодно более чем на 70 млн,населения - планеты,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: население,arg1: gen: планета,--,,,,,
,,,,,,,,,,,,,,
сохранение - статус-кво,сохранение,"Первые два — сохранение статус-кво и усиление централизации — фактически продолжают сложившийся политический курс , к которому уже адаптировались элиты и население и который не требует жесткой институциональной ломки",сохранение - статус-кво,['HEAD'],['acc'],HEAD,HEAD: сохранение,--,--,adj1: acc: статус-кво,,,,
,,,,,,,,,,,,,,
усиление - централизации,усиление,"Первые два — сохранение статус-кво и усиление централизации — фактически продолжают сложившийся политический курс , к которому уже адаптировались элиты и население и который не требует жесткой институциональной ломки",усиление - централизации,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: усиление,arg1: gen: централизация,--,,,,,
,,,,,,,,,,,,,,
восстановлении - фасадов,восстановление,"Речь идет о восстановлении фасадов и габаритных размеров , а всю внутреннюю планировку человек делает под себя",восстановлении - фасадов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: восстановление,arg1: gen: фасад,--,,,,,
,,,,,,,,,,,,,,
занятие - с председателями - отвечают - отчитались,занятие,"Организовали также занятие с председателями призывных комиссий , на котором главы администраций городов и районов области , которые согласно российскому законодательству отвечают за проведение призывной кампании , отчитались о готовности к этому важнейшему для страны делу — призыву граждан на военную службу",занятие - с председателями - отвечают - отчитались,['HEAD'],"['с+ins', 'VERB,impf,intr plur,3per,pres,indc', 'VERB,perf,intr plur,past,indc']",HEAD,HEAD: занятие,--,--,adj1: с+ins: председатель,"adj2: VERB,impf,intr plur,3per,pres,indc: отвечать","adj3: VERB,perf,intr plur,past,indc: отчитались",,
,,,,,,,,,,,,,,
проведение - кампании,проведение,"Организовали также занятие с председателями призывных комиссий , на котором главы администраций городов и районов области , которые согласно российскому законодательству отвечают за проведение призывной кампании , отчитались о готовности к этому важнейшему для страны делу — призыву граждан на военную службу",проведение - кампании,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: кампания,--,,,,,
,,,,,,,,,,,,,,
подключения - газопровода,подключение,"Администрация города уже определила четыре точки , где могут расположиться газораспределительные станции для подключения магистрального газопровода : район поселков Парфеновка и Плишкино ( для газификации правобережных районов , которая будет проводиться в первую очередь ) и вблизи поселков Мамоны и Вдовино ( левый берег Ангары )",подключения - газопровода,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: подключение,arg1: gen: газопровод,--,,,,,
,,,,,,,,,,,,,,
Кения - Эфиопия,кение,"Больше всего пострадали Кения , Эфиопия и Сомали",Кения - Эфиопия,['HEAD'],['nom'],HEAD,HEAD: кение,--,--,adj1: nom: эфиопия,,,,
,,,,,,,,,,,,,,
управления - складом,управление,Автоматизированная система управления складом среди прочего позволяет отследить наступление периода истечения срока годности,управления - складом,"['HEAD', 'ins']",[],HEAD-arg1,HEAD: управление,arg1: ins: склад,--,,,,,
,,,,,,,,,,,,,,
наступление - периода,наступление,Автоматизированная система управления складом среди прочего позволяет отследить наступление периода истечения срока годности,наступление - периода,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: наступление,arg1: gen: период,--,,,,,
,,,,,,,,,,,,,,
истечения - срока,истечение,Автоматизированная система управления складом среди прочего позволяет отследить наступление периода истечения срока годности,истечения - срока,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: истечение,arg1: gen: срок,--,,,,,
,,,,,,,,,,,,,,
простое - увеличение - значения,увеличение,Однако простое увеличение порогового значения автоматически приводит к увеличению государственных обязательств перед застрахованными,увеличение - значения,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: значение,--,,,,,
,,,,,,,,,,,,,,
увеличению - обязательств,увеличение,Однако простое увеличение порогового значения автоматически приводит к увеличению государственных обязательств перед застрахованными,увеличению - обязательств,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: обязательство,--,,,,,
,,,,,,,,,,,,,,
развитию - спорта,развитие,В Свердловской области развитию массового спорта уделяется большое внимание,развитию - спорта,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: спорт,--,,,,,
,,,,,,,,,,,,,,
предприятие - Уралэнергомонтаж,предприятие,"Монтажники идут работать на предприятие "" Уралэнергомонтаж "" , трактористы — по совхозам , повара — в общепит , продавцы — в магазины Очень велик спрос на бухгалтеров",предприятие - Уралэнергомонтаж,['HEAD'],['nom'],HEAD,HEAD: предприятие,--,--,adj1: nom: уралэнергомонтаж,,,,
,,,,,,,,,,,,,,
лучшим - решением - проблем,решение,"Но в Приморье собственники хозяйства , а вместе с ними , очевидно , и руководители отрасли в крае решили , что лучшим решением проблем с убытками будет простая ликвидация предприятия",решением - проблем,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: решение,arg1: gen: проблема,--,,,,,
,,,,,,,,,,,,,,
оскорблений - спора,оскорбление,"Мало того что вся страна стала свидетелем полного площадной ругани и оскорблений спора Примадонны и Владимира Жириновского , так еще ее агитационный ролик за Прохорова умельцы-провокаторы переделали в точно такой же ролик "" за Путина """,оскорблений - спора,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: оскорбление,arg1: gen: спор,--,,,,,
,,,,,,,,,,,,,,
размышлений - о судьбе,размышление,"Если серьезно , то точный анализ прожитого ( и пережитого ) в 2003 году дает нам материал для размышлений о судьбе грядущего 2004",размышлений - о судьбе,['HEAD'],['о+loc'],HEAD,HEAD: размышление,--,--,adj1: о+loc: судьба,,,,
,,,,,,,,,,,,,,
плаванием - атлетикой,плавание,""" Занимался борьбой , баскетболом , плаванием , легкой атлетикой , - говорит "" Русский гигант "" - форму нужно поддерживать каждый день """,плаванием - атлетикой,"['HEAD', 'ins']",[],HEAD-arg1,HEAD: плавание,arg1: ins: атлетика,--,,,,,
,,,,,,,,,,,,,,
предприятий - и,предприятие,Возбуждено четыре уголовных дела по фактам преднамеренного банкротства предприятий и хищения их имущества,предприятий - и,['HEAD'],['CONJ'],HEAD,HEAD: предприятие,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
хищения - имущества,хищение,Возбуждено четыре уголовных дела по фактам преднамеренного банкротства предприятий и хищения их имущества,хищения - имущества,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: хищение,arg1: gen: имущество,--,,,,,
,,,,,,,,,,,,,,
развития - туризма,развитие,"В ближайшее время должна заработать "" Программа развития внутреннего и въездного туризма Приморского края на 2011-2016 гг . "" ( сейчас она находится на утверждении )",развития - туризма,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: туризм,--,,,,,
,,,,,,,,,,,,,,
наказание - в виде,наказание,Нарушителей спокойствия сограждан с 22 часов вечера до 8 часов утра ждет наказание в виде штрафа от 500 до 1000 рублей,наказание - в виде,['HEAD'],['в+loc'],HEAD,HEAD: наказание,--,--,adj1: в+loc: вид,,,,
,,,,,,,,,,,,,,
резкое - ограничение - иммиграции - в Европу,ограничение,"Французский "" Национальный фронт "" выступает за резкое ограничение иммиграции в Европу",ограничение - иммиграции - в Европу,"['HEAD', 'gen']",['в+acc'],HEAD-arg1,HEAD: ограничение,arg1: gen: иммиграция,--,adj1: в+acc: европа,,,,
,,,,,,,,,,,,,,
Теперь - на повестке - объединение - с аэропортом - анонсировал,объединение,"Теперь на повестке дня объединение с принадлежащим Москве аэропортом Внуково , которое премьер Владимир Путин анонсировал еще год назад",объединение - с аэропортом - анонсировал,['HEAD'],"['с+ins', 'VERB,impf,tran masc,sing,past,indc']",HEAD,HEAD: объединение,--,--,adj1: с+ins: аэропорт,"adj2: VERB,impf,tran masc,sing,past,indc: анонсировать",,,
,,,,,,,,,,,,,,
вашими - огромными - зданиями,здание,"Если вы не согласитесь с нашими доводами , нам не очень интересно будет сидеть с вашими огромными зданиями и год мучиться , а потом через год поругаться от ощущения потери времени и сил",вашими - зданиями,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: здание,arg1: poss: ваш,--,,,,,
,,,,,,,,,,,,,,
ощущения - потери,ощущение,"Если вы не согласитесь с нашими доводами , нам не очень интересно будет сидеть с вашими огромными зданиями и год мучиться , а потом через год поругаться от ощущения потери времени и сил",ощущения - потери,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: ощущение,arg1: gen: потеря,--,,,,,
,,,,,,,,,,,,,,
образования - инженера-механика,образование,"Остается только министр спорта и туризма , который ближайшие два года будет регулярно видеться с высшим руководством , если останется , и который является единственным в правительстве обладателем образования инженера-механика , хотя и заочного",образования - инженера-механика,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: образование,arg1: gen: инженера-механика,--,,,,,
,,,,,,,,,,,,,,
волнение - моря,волнение,"Погода резко испортилась , поднялся ветер , усилилось волнение моря",волнение - моря,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: волнение,arg1: gen: море,--,,,,,
,,,,,,,,,,,,,,
приобретение - оборудования - на ремонт,приобретение,"Выделяются средства на приобретение необходимого оборудования , на ремонт классных комнат и спортивного зала , ремонт уличного спортивного городка и на другие цели",приобретение - оборудования - на ремонт,"['HEAD', 'gen']",['на+acc'],HEAD-arg1,HEAD: приобретение,arg1: gen: оборудование,--,adj1: на+acc: ремонт,,,,
,,,,,,,,,,,,,,
подразделения - МПО,подразделение,В итоге подразделения МПО напрямую замыкаются на головной офис в Москве,подразделения - МПО,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: подразделение,arg1: gen: мпо,--,,,,,
,,,,,,,,,,,,,,
Свое - умение,умение,Свое умение он передает ученикам на уроках технологии,Свое - умение,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: умение,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
авторских - сочинений - изданных,сочинение,"90 тысяч авторских сочинений , изданных в разные годы на протяжении почти двух столетий ; аккуратные или , наоборот , выведенные вразбег строчки на ломкой от времени бумаге – не имеющие цены автографы людей , чей след не затерялся в кутерьме отшумевших событий",сочинений - изданных,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: сочинение,arg1: gen: издать,--,,,,,
,,,,,,,,,,,,,,
протяжении - столетий,протяжение,"90 тысяч авторских сочинений , изданных в разные годы на протяжении почти двух столетий ; аккуратные или , наоборот , выведенные вразбег строчки на ломкой от времени бумаге – не имеющие цены автографы людей , чей след не затерялся в кутерьме отшумевших событий",протяжении - столетий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: протяжение,arg1: gen: столетие,--,,,,,
,,,,,,,,,,,,,,
какое-то - всенародное - помутнение - рассудка,помутнение,И постепенно какое-то всенародное помутнение рассудка происходит,помутнение - рассудка,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: помутнение,arg1: gen: рассудок,--,,,,,
,,,,,,,,,,,,,,
поручений - Медведева,поручение,"Серьезную новацию можно усмотреть и в пункте поручений Медведева , касающемся принятия срочных мер по субсидированию лизинга воздушных судов независимо от государства-производителя",поручений - Медведева,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: поручение,arg1: gen: медведев,--,,,,,
,,,,,,,,,,,,,,
принятия - мер,принятие,"Серьезную новацию можно усмотреть и в пункте поручений Медведева , касающемся принятия срочных мер по субсидированию лизинга воздушных судов независимо от государства-производителя",принятия - мер,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: принятие,arg1: gen: мера,--,,,,,
,,,,,,,,,,,,,,
субсидированию - лизинга,субсидирование,"Серьезную новацию можно усмотреть и в пункте поручений Медведева , касающемся принятия срочных мер по субсидированию лизинга воздушных судов независимо от государства-производителя",субсидированию - лизинга,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: субсидирование,arg1: gen: лизинг,--,,,,,
,,,,,,,,,,,,,,
сознании - граждан,сознание,"Тем интереснее психологический переворот в сознании граждан 10 февраля – больше стало тех , кто заявлял о гражданском долге как о причине участия в акциях оппозиции , на отдельный вопрос о своем настроении многие отмечали , что счастливы",сознании - граждан,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: сознание,arg1: gen: гражданин,--,,,,,
,,,,,,,,,,,,,,
участия - в акциях - на вопрос,участие,"Тем интереснее психологический переворот в сознании граждан 10 февраля – больше стало тех , кто заявлял о гражданском долге как о причине участия в акциях оппозиции , на отдельный вопрос о своем настроении многие отмечали , что счастливы",участия - в акциях - на вопрос,['HEAD'],"['в+loc', 'на+acc']",HEAD,HEAD: участие,--,--,adj1: в+loc: акция,adj2: на+acc: вопрос,,,
,,,,,,,,,,,,,,
своем - настроении,настроение,"Тем интереснее психологический переворот в сознании граждан 10 февраля – больше стало тех , кто заявлял о гражданском долге как о причине участия в акциях оппозиции , на отдельный вопрос о своем настроении многие отмечали , что счастливы",своем - настроении,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: настроение,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
трех - поражений - подряд,поражение,""" Рома "" , поднявшись было в "" тройку "" , после трех поражений подряд опустилась на 8-е место",поражений - подряд,['HEAD'],['ADVB'],HEAD,HEAD: поражение,--,--,adj1: ADVB: подряд,,,,
,,,,,,,,,,,,,,
течение - полугода,течение,""" Нас обвиняют в том , что ликвидность у банка недостаточная , но почему в течение полугода всеми способами нам мешали увеличить уставный капитал",течение - полугода,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: течение,arg1: gen: полугод,--,,,,,
,,,,,,,,,,,,,,
попадании - в легкие,попадание,"Хлор — токсичный удушливый газ , при попадании в легкие вызывает их ожог , удушье",попадании - в легкие,['HEAD'],['в+acc'],HEAD,HEAD: попадание,--,--,adj1: в+acc: легкое,,,,
,,,,,,,,,,,,,,
течение - лет,течение,"Как считают эксперты , стоимость перевозок в течение ближайших лет увеличится из-за дефицита судов",течение - лет,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: течение,arg1: gen: год,--,,,,,
,,,,,,,,,,,,,,
формирования - потоков - исходя,формирование,"По словам Ильи Шуравина , природа системы совместного продвижения лежит в основном принципе формирования арендных финансовых потоков исходя из фактического товарооборота , сгенерированного торговым центром для арендатора",формирования - потоков - исходя,"['HEAD', 'gen']","['GRND,impf,intr pres']",HEAD-arg1,HEAD: формирование,arg1: gen: поток,--,"adj1: GRND,impf,intr pres: исходить",,,,
,,,,,,,,,,,,,,
выполнения - обязательств,выполнение,"Соответственно , новое качество жизни зависит уже не только от выполнения социальных обязательств в сферах образования и здравоохранения , но и от модернизации",выполнения - обязательств,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: выполнение,arg1: gen: обязательство,--,,,,,
,,,,,,,,,,,,,,
образования - и,образование,"Соответственно , новое качество жизни зависит уже не только от выполнения социальных обязательств в сферах образования и здравоохранения , но и от модернизации",образования - и,['HEAD'],['CONJ'],HEAD,HEAD: образование,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
сожалению - для участников,сожаление,К сожалению для всех участников этого процесса,сожалению - для участников,['HEAD'],['для+gen'],HEAD,HEAD: сожаление,--,--,adj1: для+gen: участник,,,,
,,,,,,,,,,,,,,
События - масштаба,событие,- События такого масштаба заставят пересмотреть условия развития атомной энергетики,События - масштаба,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: событие,arg1: gen: масштаб,--,,,,,
,,,,,,,,,,,,,,
развития - энергетики,развитие,- События такого масштаба заставят пересмотреть условия развития атомной энергетики,развития - энергетики,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: энергетика,--,,,,,
,,,,,,,,,,,,,,
течение - года,течение,"Депутат почти уверен , что в течение предстоящего года дума краевого центра не будет более делать попыток изменить Устав с тем , чтобы выбирать мэра из состава депутатов и назначать сити-мендежера",течение - года,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: течение,arg1: gen: год,--,,,,,
,,,,,,,,,,,,,,
развитие - мысли,развитие,"В активе у них две серебряные ( В . Меднов и С . Щербаков ) и четыре бронзовые ( А . Булаков , Г . Гарбузов , Сегодня развитие западной педагогической мысли идет как в том направлении , чтобы перестать делать из школы "" конвейер , выпускающий штампованную продукцию на каждой ступени обучения """,развитие - мысли,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: мысль,--,,,,,
,,,,,,,,,,,,,,
усвоения - норм,усвоение,"Главная причина этого — в действии социальных институтов , которым большинство подчиняется даже не всегда осознанно , а в результате усвоения их норм некритически с раннего детства в процессе социализации "" , — говорит заведующий отделом социологии фонда ИНДЕМ Владимир Римский",усвоения - норм,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: усвоение,arg1: gen: норма,--,,,,,
,,,,,,,,,,,,,,
применения - штрафов,применение,"Мы должны понимать , что жесткие санкции сейчас важны для нашего рынка , и мы не можем отказаться от практики применения оборотных штрафов , которой давно нет в Европе",применения - штрафов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: применение,arg1: gen: штраф,--,,,,,
,,,,,,,,,,,,,,
устранению - неисправности,устранение,Ведутся работы по устранению неисправности,устранению - неисправности,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: устранение,arg1: gen: неисправность,--,,,,,
,,,,,,,,,,,,,,
его - мнению,мнение,"По его мнению , было бы замечательно , если бы в пяти минутах от Кремля , куда стремится большинство туристов , расположился парк",его - мнению,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: мнение,arg1: poss: его,--,,,,,
,,,,,,,,,,,,,,
международным - отношениям - Бен,отношение,"В докладе под названием "" Переосмысливая Россию "" , который подготовил для Европейского совета по международным отношениям Бен Джуда , сообщается , что , хотя численность коренного населения нашей страны на протяжении двух десятилетий продолжала сокращаться ( с 1992 по 2008 год Россия потеряла почти 7 млн",отношениям - Бен,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отношение,arg1: gen: бен,--,,,,,
,,,,,,,,,,,,,,
коренного - населения - страны,население,"В докладе под названием "" Переосмысливая Россию "" , который подготовил для Европейского совета по международным отношениям Бен Джуда , сообщается , что , хотя численность коренного населения нашей страны на протяжении двух десятилетий продолжала сокращаться ( с 1992 по 2008 год Россия потеряла почти 7 млн",населения - страны,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: население,arg1: gen: страна,--,,,,,
,,,,,,,,,,,,,,
протяжении - десятилетий,протяжение,"В докладе под названием "" Переосмысливая Россию "" , который подготовил для Европейского совета по международным отношениям Бен Джуда , сообщается , что , хотя численность коренного населения нашей страны на протяжении двух десятилетий продолжала сокращаться ( с 1992 по 2008 год Россия потеряла почти 7 млн",протяжении - десятилетий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: протяжение,arg1: gen: десятилетие,--,,,,,
,,,,,,,,,,,,,,
современное - оборудование - –,оборудование,"А вот для того , чтобы убедиться в этом , необходимо было действительно современное оборудование – атомносиловой микроскоп , к примеру",оборудование - –,['HEAD'],['PNCT'],HEAD,HEAD: оборудование,--,--,adj1: PNCT: –,,,,
,,,,,,,,,,,,,,
проведения - экспертизы,проведение,"То есть Комиссарова не заслуживает доверия , так как ее выводы не соответствуют выводам , сделанным Нестеренко во время проведения психофизиологической экспертизы",проведения - экспертизы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: экспертиза,--,,,,,
,,,,,,,,,,,,,,
местных - отделений - партии - члена,отделение,"Единогласно делегатами партсъезда конференция избрала секретарей Нижнетагильского и Березовского местных отделений партии Никиту Беркутова и Вячеслава Брозовского , члена регионального политсовета партии Сергея Брюханова , депутатов Палаты Представителей Законодательного Собрания области Мелика Мори и Дениса Паслера , ректора Уральского государственного педагогического университета Бориса Игошева , председателя колхоза имени Калинина Надежду Каргапольцеву , генерального директора ЗАО "" Ренова-строй-групп "" Академический "" Алексея Воробьева , руководителя Свердловского регионального отделения общественной организации "" Молодая Гвардия "" Сергея Коробейникова , депутата областной Думы , руководителя общественной приемной председателя партии "" Единая Россия "" Владимира Путина в Екатеринбурге Елену Чечунову , губернатора Свердловской области Эдуарда Росселя",отделений - партии - члена,"['HEAD', 'gen']",['acc'],HEAD-arg1,HEAD: отделение,arg1: gen: партия,--,adj1: acc: член,,,,
